title,date,author,prevPage,prevPage-href
"[新聞] 中市管制空汙 10月PM2.5濃度降低","11/05","shyshybaby01","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"[問卦] 為什麼小時候畢旅都吃那幾間","11/05","davidWG5566","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"[問卦] 如果一天只吃一餐 要吃哪餐好？","11/05","wen52212","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"[問卦] 台灣未來幾十年有可能變成動畫王國嗎?","11/05","xdfunnyboy","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"[新聞] 警上門抓大麻　男模驚恐尖叫：你們是誰？","11/05","jajujo","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"[問卦]沒有我的歲月裡，各位過得如何？","11/05","ddd1264","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"Re: [問卦] 中醫贏西醫哪些東西","11/05","uhbygv45","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"Re: [問卦]年薪20萬鎂在美國算多嗎?","11/05","gswang","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"[問卦] 臭氧層破洞是不是女媧補的？","11/05","kaiting00","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"[新聞] 工廠外勞砍殺兩室友後自殘 3人無生命危險","11/05","Jerome18","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"Re: [問卦] 很多年輕父母為啥不管好小孩？","11/05","chose","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"[新聞] 感嘆台男「沒錢＝沒地位」　網友突破盲點","11/05","zxcxxx","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"Re: [新聞] 國寶小說家鄭清文病逝 享壽85歲","11/05","shk91353","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"[問卦] 柯老公的味留一升庵的生意有受到影響嗎??","11/05","darkstar07","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"[問卦] 有沒有陳禹伸連掰掰都拼錯的八卦？","11/05","calibration","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"Re: [問卦] 很多年輕父母為啥不管好小孩？","11/05","qqmaybenot","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"[問卦] 吃火鍋點什麼最能展現高度","11/05","kimura0701","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"Re: [問卦] 統一後去哪迎接解放軍","11/05","xzcb2008","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"Re: [問卦] 很多年輕父母為啥不管好小孩？","11/05","vega790205","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"[問卦] 借我20萬，今晚我陪你，這樣要還嗎？","11/05","AsahiBeer","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"Re: [問卦] 會怎麼說或用什麼詞取代 「不要」這兩個","11/05","fbifxxkma","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"Re: [問卦] 台灣軟體業為什麼搞不起來","11/05","ZhuBeiCity","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"[問卦] 台灣大學的宿舍為啥都跟監獄一樣","11/05","gm023347599","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"[問卦] 在路上看到很多iphone X","11/05","nyybos8812","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"Re: [新聞] 餐廳回收剩飯竟倒回飯桶 網友直呼：太扯","11/05","ILike58","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"[問卦] 有沒有在圖書館連點滑鼠的八卦","11/05","lintzu83","",""
"[新聞] 網購手槍型衝鋒槍入台 警方路檢攔到小軍","11/05","ymes060609","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"[新聞] 網路約砲吸毒助性 隔天醒來他死在枕邊","11/05","cisbpmtw","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"[爆卦] 城隍廟巧遇柯文哲","11/05","ss1130","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"Re: [問卦] 霸凌者後來都如何了？","11/05","lio226","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"[問卦] 被店員要電話代表什麼?","11/05","HisVol","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"Re: [問卦] 中醫贏西醫哪些東西","11/05","willy1103","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"[問卦] 年近30體力開始下滑？","11/05","aertina","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"Re: [問卦] 跟中國統一是解決少子化問題的唯一解?","11/05","EOMing","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"[問卦] 統一後去哪迎接解放軍","11/05","J10A","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"[公告] 11月份八卦板置底閒聊區","11/04","Kay731","",""
"[問卦] 一手抓住蘿莉裙子不放是什麼感覺??","11/05","cureHAPPY","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"[新聞] 「泛藍聯盟」喊投入選舉 恐衝擊國民黨","11/05","OusakaMegumu","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"[問卦] 台北地下街好臭?☺☺","11/05","glthe1","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"[問卦] 為何8+9總是有正妹跟在旁邊","11/05","jp6vu04boy","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"[問卦] 把手機網頁設計成會亂移的人在想什麼","11/05","NoCool","",""
"Re: [新聞] 餐廳回收剩飯竟倒回飯桶 網友直呼：太扯","11/05","chose","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"[問卦] 口試被電 vs. 不被電 都幾？","11/05","Hazukashiine","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"[新聞] 送掉150萬！為女兒學費賣「4張限定青眼白龍」","11/05","davidex","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"[新聞] 加國建共產受害者紀念碑 台灣捐2.5萬加元","11/05","maruEX","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"Re: [問卦]年薪20萬鎂在美國算多嗎?","11/05","wawi2","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"[新聞] 「濱小步」和女伴婚戒宅配疑被偷！臉書po","11/05","Caress","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"Re: [新聞] AI提供快訊 日本零記者通訊社掀革命","11/05","Ruth","",""
"[問卦] 台灣是不是很爛","11/05","kiker","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"Re: [ＦＢ] 柯文哲 補助生育第二胎獎金從優","11/05","dxoxb","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"[問卦] 如果一朗加入兄弟","11/05","PRME","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"[問卦] 寶特瓶飲料的王者是誰？","11/05","adl117980","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"Re: [問卦] 台灣根本不需要那麼多大學吧","11/05","sweet15043","",""
"[問卦] 不承認自己木舌的人很多？","11/05","a22328833","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"[新聞] 農委會大小人事能否自己作主？林聰賢回","11/05","oryza","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"Re: [新聞] 柯文哲能還債、其他縣市卻舉債？陳景峻：","11/05","sean12345678","",""
"[問卦] 施氏食獅史?","11/05","lovejiyeon","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"[問卦] 八卦鄉民對周邊國家的好感度排名是?","11/05","jajujo","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"[問卦] 為何台灣遊戲產業停滯了？","11/05","Leeser","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"[新聞] 網路討論「北市什麼進步？」市民：不知道","11/05","shinmoner","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"Re: [問卦] 體重過重能免役也太爽了吧?","11/05","aa0000000000","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"[問卦] 如何治療男森『看到正妹就想幹人家的病』","11/05","Qpera","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"[問卦] 馬英九也沒想像中的傾中阿","11/05","PeterHenson","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"[問卦] 阿扁萬歲","11/05","PeterHenson","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"[問卦] 蘋果是不是水果之王？","11/05","punkXU","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"[新聞] 若當市長?丁守中:會在北京、深圳設聯合辦","11/05","LeeMinjung","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"Re: [問卦] 資工系的在跩什麼?","11/05","zzzz8931","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"Re: [問卦] 為何一堆北七拼命在洗『台北鳥籠窮民窟』","11/05","martine318","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"[問卦] 台灣根本不需要那麼多大學吧","11/05","king786945","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"[問卦] 跟中國統一是解決少子化問題的唯一解?","11/05","Jokerzz","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"[新聞] 柯文哲能還債、其他縣市卻舉債？陳景峻：","11/05","aa24845720","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"[問卦] PTT要怎麼戒掉","11/05","PeterHenson","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"[問卦] 大麻味是什麼味","11/05","sky1119","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"[問卦] 有沒有說覽較不行說屌就可以的八卦","11/05","skycash","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"Re: [問卦] 冬天到了，是不是該處理核電了？","11/05","fredjedi","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"Re: [問卦] 鄉民可以忍受像以柔這種個性的老婆嗎","11/05","chirex","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"[問卦] 康雍乾盛世","11/05","a1m135246","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"[問卦] 台灣伊斯蘭協會是偽物的八卦?","11/05","paca0713","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"Re: [問卦] 在補習班我吃的最寒酸怎麼辦QQ","11/05","RS5566","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"[問卦] 想請問哪裡妨礙公務","11/05","george40123","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"Re: [新聞] 一例一休修法方向  賴清德6日將拍板","11/05","simonjen","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"null","11/05","-","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"Re: [新聞] 蝦米？北捷竟能造成地球磁場異常","11/05","turbomons","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"[問卦] 肥宅拿麥克風自肛會超爽嗎？☺☺☺","11/05","gentleman888","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"[問卦] 果蠅怎麼對付的八卦","11/05","jason748","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"[公告] 八卦板板規(2017.09.21)","9/21","ocean5566","",""
"[問卦] 會怎麼說或用什麼詞取代 「不要」這兩個","11/05","Lucky0105","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"[問卦] 有沒有SKT跟我自己親友團差不多強的八卦?","11/05","WOODOM","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"[問卦] 子瑜算是什麼擔當？","11/05","likeshit","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"[問卦] 有沒有外國房仲的八卦","11/05","cytotoxic","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"[問卦] 獵雷艦怎麼都還沒有人出來負責下台？","11/05","addison123","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"Re: [新聞] 占用哺乳室2個月遭質疑！通勤媽怒轟台鐵","11/05","JapanEmperor","",""
"[問卦] 有沒有最近同志比較公開的八卦","11/05","tosay","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"Re: [問卦]年薪20萬鎂在美國算多嗎?","11/05","convington","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"[問卦] 有布袋奶的八卦嗎","11/05","koil","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"[問卦] 有沒有健保卡獎狀的八掛？","11/05","fallen01","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"[問卦] 館長4不4過氣了 ?","11/05","SODAECHO1","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"Re: [問卦] 台灣軟體業為什麼搞不起來","11/05","JapanEmperor","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"[問卦] 有沒有會投球的韓國沈玉琳- 梁玹種八卦？","11/05","lababear","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"[新聞] 悲痛！母犀牛懷孕帶兒散步 慘遭獵殺釀2屍","11/05","uedamarie","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"Re: [問卦] 很多年輕父母為啥不管好小孩？","11/05","cureHAPPY","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"null","11/05","-","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"null","11/05","-","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"Re: [ＦＢ] 柯文哲 補助生育第二胎每月獎金從優","11/05","wizardfizban","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"[問卦] 新莊疑似聽到槍聲","11/05","tw70167","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"Re: [問卦] 遠航空服事件會是華航2.0ㄇ","11/05","scopeowl","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"Re: [問卦] 中醫贏西醫哪些東西","11/05","xraymugen","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"Re: [問卦] 為什麼這麼漂亮的女生會去拍A片?","11/05","kakaloto","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"[問卦] 有沒有表特版肥宅的八卦？","11/05","s0970761970","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"Re: [問卦] 很多年輕父母為啥不管好小孩？","11/05","smileboy2016","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"[問卦] 設備工程師真的很廢嗎","11/05","nagisaK","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"[新聞] 國寶小說家鄭清文病逝 享壽85歲","11/05","shk91353","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"Re: [問卦] 全家便利商店算好企業嗎?","11/05","kinve1014","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"[問卦] 沒手機的時候大便要幹嘛","11/05","fishmenkonfu","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"[問卦] 台灣起司料理不流行嗎","11/05","CornyDragon","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"Re: [問卦] 很多年輕父母為啥不管好小孩？","11/05","atpx","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"Re: [新聞] 一例一休修法方向  賴清德6日將拍板","11/05","elmotze","",""
"[新聞] 占用哺乳室2個月遭質疑！通勤媽怒轟台鐵","11/05","NONONONONO","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"Re: [問卦] 為什麼台女喜歡NBA勝過MLB","11/05","med5566","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"[問卦] 網路的發達才是消滅中產階級的主因？","11/05","bosmin1amp","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"Re: [問卦] 跟中國統一是解決少子化問題的唯一解?","11/05","ak47good","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"[問卦] 很多年輕父母為啥不管好小孩？","11/05","qqq61004","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"Re: [新聞] 蝦米？北捷竟能造成地球磁場異常","11/05","yuer6734","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"Re: [問卦] 是不是越自卑的人fb的簡介會放越多頭","11/05","werlight","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"Re: [問卦] 加快教育年限，拯救少子化？","11/05","siemen","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"Re: [新聞] 餐廳回收剩飯竟倒回飯桶 網友直呼：","11/05","gs8613789","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"Re: [問卦] Power錕是在Power什麼?","11/05","bluebugi","",""
"[問卦] 卜卦是不是蠻有趣的","11/05","fmlpeter","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"[問卦] 橘子在抓天堂1私服的八卦?","11/05","ofpurity","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"[新聞] 桃猿金冠軍遊行　熱情球迷騎車相陪","11/05","juyhnmki","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"Re: [新聞] 「鞭刑」逾2萬人附議 親歷者：比慘還難","11/05","foxeshen","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"Re: [問卦] 果蠅怎麼對付的八卦","11/05","gary910729","",""
"Re: [新聞] 一例一休修法方向  賴清德6日將拍板","11/05","goodman5566","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"[新聞] 沙國王室權力鬥爭 阿瓦里德親王被捕","11/05","CrestiaBell","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"[問卦] iOS 11的wifi 使用是不是個笑話？","11/05","JPChinbotsu","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"[問卦] HTTP 的版本差異？","11/05","zzzz8931","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"[問卦] 打招呼說安安很怪嗎","11/05","Exc4liboor","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"[問卦]我把悲傷留給自己，妳的美麗讓妳帶走？","11/05","ddd1264","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"[問卦] 何謂排毒？","11/05","mathlover","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"Re: [問卦] 台灣大學的宿舍為啥都跟監獄一樣","11/05","Beef","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"[問卦] 我要怎麼成為俄羅斯公民？","11/05","tonhy55555","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"Re: [新聞] 餐廳回收剩飯竟倒回飯桶 網友直呼：太扯","11/05","ilovesumika","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"[問卦] 這是什麼電子零件?","11/05","bencert","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"null","11/05","-","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"Re: [問卦] 很多年輕父母為啥不管好小孩？","11/05","kabor","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"Re: [新聞] 再追慶富案！黃國昌6日到北檢告發簡太郎","11/05","ptt987654321","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"[問卦] 傻眼貓咪，無言薯條！","11/05","chean1020","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"Re: [問卦] 為何一堆北七拼命在洗『台北鳥籠窮民窟』","11/05","NANAGG","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"Re: [問卦] 台灣軟體業為什麼搞不起來","11/05","sec5566","",""
"[問卦] 邊緣人回訊息是不是很快?","11/05","aabbcc520","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"Re: [問卦] 寶特瓶飲料的王者是誰？","11/05","crime2001","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24945.html"
"Re: [新聞] 餐廳回收剩飯竟倒回飯桶 網友直呼：太扯","11/05","xxxd851130","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24943.html"
"Re: [問卦] 是不是越自卑的人fb的簡介會放越多頭銜","11/05","be11eaya","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"[新聞] MLB》棒壇世紀婚禮 韋蘭德與超模阿普頓","11/05","gonarain1231","",""
"Re: [新聞] 七旬翁單挑中國愛神　床戰一場懊惱落網","11/05","lovetina","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"Re: [問卦] 很多年輕父母為啥不管好小孩？","11/05","blue999","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"Re: [問卦] 加快教育年限，拯救少子化？","11/05","lwamp","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"[問卦] 30歲年薪拼到多少 可以算混的不錯？","11/05","as850129","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"[問卦] 用數學函數圖形畫胸部?","11/05","leon105","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"[新聞] 朱立倫舉債最該罵?新北正副發言人反擊陳","11/05","uhmeioura","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"Re: [問卦] 大陸人怎麼老愛拍浮誇短片","11/05","tosay","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"Re: [問卦] 為什麼台灣人都會講山東腔??","11/05","ak47good","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"[問卦] 怎麼向老闆提國定假日雙倍薪","11/05","memory8820","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24948.html"
"[新聞]陸學者張冠華：兩岸一家親是融合發展的指","11/05","YusaAoi","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"[問卦] 遇到很高調的人生勝利組怎麼辦？","11/05","ChineseKing","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"[新聞] 油價創29個月新高　中油：明汽油漲0.5元","11/05","kobe089","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"[問卦] 谷阿莫在祖國也很紅的八卦？","11/05","KimSongI","",""
"[新聞] 臉書貼一把刷子　爆布袋20高職生大亂鬥","11/05","eastbrook","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"Re: [問卦] 加快教育年限，拯救少子化？","11/05","jack125125","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24944.html"
"[問卦] 甲甲要怎麼知道別人也是甲甲？","11/05","nathantw","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24942.html"
"[問卦] 騎打檔車會不會看不起騎GOGORO?","11/05","Caress","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"[新聞] 孤女想圓出國夢 扶輪社伸援手","11/05","FuyumiIrisu","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"Re: [新聞] 網路約砲吸毒助性 隔天醒來他死在枕邊","11/05","AFIE","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24946.html"
"[問卦] 台灣YOUTUBER是不是都抄襲居多?","11/05","Caress","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"Re: [新聞] 前9月新生兒不到15萬　「人口死亡交叉」","11/05","chungrew","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24941.html"
"[新聞] 張淑晶又來了！騎樓亂丟垃圾超惡劣","11/05","annie06045","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24947.html"
"[問卦] 如果全世界的人都變穆斯林，會世界和平嗎","11/05","TyuzuChou","‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index24949.html"
"[新聞] 抄襲？綠政治新人宣傳片超像《HERO》","11/05","Silvemy","",""
